Question,Answer,Document,Notes
What journals has Matt Gormley published in?,ArXiv,data/paper_jsons/Matthew R. Gormley_1762110.json,
What are the journals and how many papers has Matt Gormley published in each?,{'ArXiv': 3},data/paper_jsons/Matthew R. Gormley_1762110.json,
What are the fields of study of Matt Gormley?,Computer Science,data/paper_jsons/Matthew R. Gormley_1762110.json,
How many papers has Matt Gormley published in open access journals?,4,data/paper_jsons/Matthew R. Gormley_1762110.json,
What venues has Matt Gormley published in?,"BIGPICTURE, arXiv.org, Annual Meeting of the Association for Computational Linguistics, Clinical Natural Language Processing Workshop",data/paper_jsons/Matthew R. Gormley_1762110.json,
What is the most cited paper from Matt Gormley?,Unlimiformer: Long-Range Transformers with Unlimited Length Input,data/paper_jsons/Matthew R. Gormley_1762110.json,
What is the url of the most cited paper from Matt Gormley?,http://arxiv.org/pdf/2305.01625,data/paper_jsons/Matthew R. Gormley_1762110.json,
Who are the authors of the most cited paper from Matt Gormley?,"Amanda Bertsch, Uri Alon, Graham Neubig, Matthew R. Gormley",data/paper_jsons/Matthew R. Gormley_1762110.json,
TLDR of the most cited paper from Matt Gormley?,"This work proposes Unlimiformer: a general approach that wraps any existing pretrained encoder-decoder transformer, and offloads the cross-attention computation to a single k-nearest-neighbor (kNN) index, while the returned kNN distances are the attention dot-product scores.",data/paper_jsons/Matthew R. Gormley_1762110.json,
Abstract of the most cited paper from Matt Gormley?,"Since the proposal of transformers, these models have been limited to bounded input lengths, because of their need to attend to every token in the input. In this work, we propose Unlimiformer: a general approach that wraps any existing pretrained encoder-decoder transformer, and offloads the cross-attention computation to a single k-nearest-neighbor (kNN) index, while the returned kNN distances are the attention dot-product scores. This kNN index can be kept on either the GPU or CPU memory and queried in sub-linear time; this way, we can index practically unlimited input sequences, while every attention head in every decoder layer retrieves its top-k keys, instead of attending to every key. We evaluate Unlimiformer on several long-document and book-summarization benchmarks, showing that it can process even 500k token-long inputs from the BookSum dataset, without any input truncation at test time. We demonstrate that Unlimiformer improves pretrained models such as BART and Longformer by extending them to unlimited inputs without additional learned weights and without modifying their code. We make our code and models publicly available at https://github.com/abertsch72/unlimiformer .",data/paper_jsons/Matthew R. Gormley_1762110.json,
"What journal was the paper ""It’s MBR All the Way Down: Modern Generation Techniques Through the Lens of Minimum Bayes Risk"" published in?",ArXiv,Matthew R. Gormley_1762110.json,
"What venue was the paper ""It’s MBR All the Way Down: Modern Generation Techniques Through the Lens of Minimum Bayes Risk"" published in?",BIGPICTURE,Matthew R. Gormley_1762110.json,
"How many citations does the paper ""It’s MBR All the Way Down: Modern Generation Techniques Through the Lens of Minimum Bayes Risk"" have?",6,Matthew R. Gormley_1762110.json,
"Who are the authors of the paper ""It’s MBR All the Way Down: Modern Generation Techniques Through the Lens of Minimum Bayes Risk""?","Amanda Bertsch, Alex Xie, Graham Neubig, Matthew R. Gormley",Matthew R. Gormley_1762110.json,
"Who is the first author of the paper ""It’s MBR All the Way Down: Modern Generation Techniques Through the Lens of Minimum Bayes Risk""?",Amanda Bertsch,Matthew R. Gormley_1762110.json,
"What is the paper ID of the paper ""It’s MBR All the Way Down: Modern Generation Techniques Through the Lens of Minimum Bayes Risk""?",d6ae4c0679bdceb029f652efd2a854ac5ade772f,Matthew R. Gormley_1762110.json,
What paper has the paper ID d6ae4c0679bdceb029f652efd2a854ac5ade772f?,It’s MBR All the Way Down: Modern Generation Techniques Through the Lens of Minimum Bayes Risk,Matthew R. Gormley_1762110.json,
What is the TLDR of the paper 'It’s MBR All the Way Down: Modern Generation Techniques Through the Lens of Minimum Bayes Risk'?,"It is shown that several recent methods that do not reference MBR can be written as special cases of MBR; this reformulation provides additional theoretical justification for the performance of these methods, explaining some results that were previously only empirical.",Matthew R. Gormley_1762110.json,
What is the abstract of the paper 'It’s MBR All the Way Down: Modern Generation Techniques Through the Lens of Minimum Bayes Risk'?,"Minimum Bayes Risk (MBR) decoding is a method for choosing the outputs of a machine learning system based not on the output with the highest probability, but the output with the lowest risk (expected error) among multiple candidates. It is a simple but powerful method: for an additional cost at inference time, MBR provides reliable several-point improvements across metrics for a wide variety of tasks without any additional data or training. Despite this, MBR is not frequently applied in NLP works, and knowledge of the method itself is limited. We first provide an introduction to the method and the recent literature. We show that several recent methods that do not reference MBR can be written as special cases of MBR; this reformulation provides additional theoretical justification for the performance of these methods, explaining some results that were previously only empirical. We provide theoretical and empirical results about the effectiveness of various MBR variants and make concrete recommendations for the application of MBR in NLP models, including future directions in this area.",Matthew R. Gormley_1762110.json,
"What journal was the paper ""Unlimiformer: Long-Range Transformers with Unlimited Length Input"" published in?",ArXiv,Matthew R. Gormley_1762110.json,
"What venue was the paper ""Unlimiformer: Long-Range Transformers with Unlimited Length Input"" published in?",arXiv.org,Matthew R. Gormley_1762110.json,
"How many citations does the paper ""Unlimiformer: Long-Range Transformers with Unlimited Length Input"" have?",38,Matthew R. Gormley_1762110.json,
"Who are the authors of the paper ""Unlimiformer: Long-Range Transformers with Unlimited Length Input""?","Amanda Bertsch, Uri Alon, Graham Neubig, Matthew R. Gormley",Matthew R. Gormley_1762110.json,
"Who is the first author of the paper ""Unlimiformer: Long-Range Transformers with Unlimited Length Input""?",Amanda Bertsch,Matthew R. Gormley_1762110.json,
"What is the paper ID of the paper ""Unlimiformer: Long-Range Transformers with Unlimited Length Input""?",dbc368bc8b49347dd27679894524fa62f88492c9,Matthew R. Gormley_1762110.json,
What paper has the paper ID dbc368bc8b49347dd27679894524fa62f88492c9?,Unlimiformer: Long-Range Transformers with Unlimited Length Input,Matthew R. Gormley_1762110.json,
What is the TLDR of the paper 'Unlimiformer: Long-Range Transformers with Unlimited Length Input'?,"This work proposes Unlimiformer: a general approach that wraps any existing pretrained encoder-decoder transformer, and offloads the cross-attention computation to a single k-nearest-neighbor (kNN) index, while the returned kNN distances are the attention dot-product scores.",Matthew R. Gormley_1762110.json,
What is the abstract of the paper 'Unlimiformer: Long-Range Transformers with Unlimited Length Input'?,"Since the proposal of transformers, these models have been limited to bounded input lengths, because of their need to attend to every token in the input. In this work, we propose Unlimiformer: a general approach that wraps any existing pretrained encoder-decoder transformer, and offloads the cross-attention computation to a single k-nearest-neighbor (kNN) index, while the returned kNN distances are the attention dot-product scores. This kNN index can be kept on either the GPU or CPU memory and queried in sub-linear time; this way, we can index practically unlimited input sequences, while every attention head in every decoder layer retrieves its top-k keys, instead of attending to every key. We evaluate Unlimiformer on several long-document and book-summarization benchmarks, showing that it can process even 500k token-long inputs from the BookSum dataset, without any input truncation at test time. We demonstrate that Unlimiformer improves pretrained models such as BART and Longformer by extending them to unlimited inputs without additional learned weights and without modifying their code. We make our code and models publicly available at https://github.com/abertsch72/unlimiformer .",Matthew R. Gormley_1762110.json,
"What journal was the paper ""MDACE: MIMIC Documents Annotated with Code Evidence"" published in?",ArXiv,Matthew R. Gormley_1762110.json,
"What venue was the paper ""MDACE: MIMIC Documents Annotated with Code Evidence"" published in?",Annual Meeting of the Association for Computational Linguistics,Matthew R. Gormley_1762110.json,
"How many citations does the paper ""MDACE: MIMIC Documents Annotated with Code Evidence"" have?",1,Matthew R. Gormley_1762110.json,
"Who are the authors of the paper ""MDACE: MIMIC Documents Annotated with Code Evidence""?","Hua Cheng, Rana Jafari, April Russell, Russell Klopfer, Edmond Lu, Benjamin Striner, Matthew R. Gormley",Matthew R. Gormley_1762110.json,
"Who is the first author of the paper ""MDACE: MIMIC Documents Annotated with Code Evidence""?",Hua Cheng,Matthew R. Gormley_1762110.json,
"What is the paper ID of the paper ""MDACE: MIMIC Documents Annotated with Code Evidence""?",e80f1b4c254a5c135f5f3416ba3a863f8ec4e06c,Matthew R. Gormley_1762110.json,
What paper has the paper ID e80f1b4c254a5c135f5f3416ba3a863f8ec4e06c?,MDACE: MIMIC Documents Annotated with Code Evidence,Matthew R. Gormley_1762110.json,
What is the TLDR of the paper 'MDACE: MIMIC Documents Annotated with Code Evidence'?,"MDACE is introduced, the first publicly available code evidence dataset, which is built on a subset of the MIMIC-III clinical records and can be used to evaluate code evidence extraction methods for CAC systems, as well as the accuracy and interpretability of deep learning models for multi-label classification.",Matthew R. Gormley_1762110.json,
What is the abstract of the paper 'MDACE: MIMIC Documents Annotated with Code Evidence'?,"We introduce a dataset for evidence/rationale extraction on an extreme multi-label classification task over long medical documents. One such task is Computer-Assisted Coding (CAC) which has improved significantly in recent years, thanks to advances in machine learning technologies. Yet simply predicting a set of final codes for a patient encounter is insufficient as CAC systems are required to provide supporting textual evidence to justify the billing codes. A model able to produce accurate and reliable supporting evidence for each code would be a tremendous benefit. However, a human annotated code evidence corpus is extremely difficult to create because it requires specialized knowledge. In this paper, we introduce MDACE, the first publicly available code evidence dataset, which is built on a subset of the MIMIC-III clinical records. The dataset – annotated by professional medical coders – consists of 302 Inpatient charts with 3,934 evidence spans and 52 Profee charts with 5,563 evidence spans. We implemented several evidence extraction methods based on the EffectiveCAN model (Liu et al., 2021) to establish baseline performance on this dataset. MDACE can be used to evaluate code evidence extraction methods for CAC systems, as well as the accuracy and interpretability of deep learning models for multi-label classification. We believe that the release of MDACE will greatly improve the understanding and application of deep learning technologies for medical coding and document classification.",Matthew R. Gormley_1762110.json,
What is the author ID of Matthias Grabmair?,2869551,data/paper_jsons/Matthias Grabmair_2869551.json,
What are the papers of Matthias Grabmair?,"Joint Span Segmentation and Rhetorical Role Labeling with Data Augmentation for Legal Documents, Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases, Leveraging Task Dependency and Contrastive Learning for Case Outcome Classification on European Court of Human Rights Cases",data/paper_jsons/Matthias Grabmair_2869551.json,
What is the H-index of Matthias Grabmair?,13,data/paper_jsons/Matthias Grabmair_2869551.json,
What is the author citation count of Matthias Grabmair?,464,data/paper_jsons/Matthias Grabmair_2869551.json,
What journals has Matthias Grabmair published in?,ArXiv,data/paper_jsons/Matthias Grabmair_2869551.json,
What are the journals and how many papers has Matthias Grabmair published in each?,{'ArXiv': 1},data/paper_jsons/Matthias Grabmair_2869551.json,
What are the fields of study of Matthias Grabmair?,Computer Science,data/paper_jsons/Matthias Grabmair_2869551.json,
How many papers has Matthias Grabmair published in open access journals?,3,data/paper_jsons/Matthias Grabmair_2869551.json,
What venues has Matthias Grabmair published in?,"European Conference on Information Retrieval, Findings, Conference of the European Chapter of the Association for Computational Linguistics",data/paper_jsons/Matthias Grabmair_2869551.json,
What is the most cited paper from Matthias Grabmair?,Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases,data/paper_jsons/Matthias Grabmair_2869551.json,
What is the url of the most cited paper from Matthias Grabmair?,http://arxiv.org/pdf/2302.00609,data/paper_jsons/Matthias Grabmair_2869551.json,
Who are the authors of the most cited paper from Matthias Grabmair?,"Santosh T.Y.S.S, O. Ichim, Matthias Grabmair",data/paper_jsons/Matthias Grabmair_2869551.json,
TLDR of the most cited paper from Matthias Grabmair?,"This paper casts Legal Judgment Prediction on European Court of Human Rights cases into an article-aware classification task, where the case outcome is classified from a combined input of case facts and convention articles, and finds that domain adaptation methods improve zero-shot transfer performance.",data/paper_jsons/Matthias Grabmair_2869551.json,
Abstract of the most cited paper from Matthias Grabmair?,"In this paper, we cast Legal Judgment Prediction on European Court of Human Rights cases into an article-aware classification task, where the case outcome is classified from a combined input of case facts and convention articles. This configuration facilitates the model learning some legal reasoning ability in mapping article text to specific case fact text. It also provides an opportunity to evaluate the model’s ability to generalize to zero-shot settings when asked to classify the case outcome with respect to articles not seen during training. We devise zero-shot experiments and apply domain adaptation methods based on domain discrimination and Wasserstein distance. Our results demonstrate that the article-aware architecture outperforms straightforward fact classification. We also find that domain adaptation methods improve zero-shot transfer performance, with article relatedness and encoder pre-training influencing the effect.",data/paper_jsons/Matthias Grabmair_2869551.json,
"What journal was the paper ""Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases"" published in?",,Matthias Grabmair_2869551.json,
"What venue was the paper ""Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases"" published in?",Findings,Matthias Grabmair_2869551.json,
"How many citations does the paper ""Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases"" have?",5,Matthias Grabmair_2869551.json,
"Who are the authors of the paper ""Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases""?","Santosh T.Y.S.S, O. Ichim, Matthias Grabmair",Matthias Grabmair_2869551.json,
"Who is the first author of the paper ""Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases""?",Santosh T.Y.S.S,Matthias Grabmair_2869551.json,
"What is the paper ID of the paper ""Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases""?",5315883bd39a4e4af6332e344bb32d29613b3c97,Matthias Grabmair_2869551.json,
What paper has the paper ID 5315883bd39a4e4af6332e344bb32d29613b3c97?,Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases,Matthias Grabmair_2869551.json,
What is the TLDR of the paper 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases'?,"This paper casts Legal Judgment Prediction on European Court of Human Rights cases into an article-aware classification task, where the case outcome is classified from a combined input of case facts and convention articles, and finds that domain adaptation methods improve zero-shot transfer performance.",Matthias Grabmair_2869551.json,
What is the abstract of the paper 'Zero-shot Transfer of Article-aware Legal Outcome Classification for European Court of Human Rights Cases'?,"In this paper, we cast Legal Judgment Prediction on European Court of Human Rights cases into an article-aware classification task, where the case outcome is classified from a combined input of case facts and convention articles. This configuration facilitates the model learning some legal reasoning ability in mapping article text to specific case fact text. It also provides an opportunity to evaluate the model’s ability to generalize to zero-shot settings when asked to classify the case outcome with respect to articles not seen during training. We devise zero-shot experiments and apply domain adaptation methods based on domain discrimination and Wasserstein distance. Our results demonstrate that the article-aware architecture outperforms straightforward fact classification. We also find that domain adaptation methods improve zero-shot transfer performance, with article relatedness and encoder pre-training influencing the effect.",Matthias Grabmair_2869551.json,
"What journal was the paper ""Joint Span Segmentation and Rhetorical Role Labeling with Data Augmentation for Legal Documents"" published in?",,Matthias Grabmair_2869551.json,
"What venue was the paper ""Joint Span Segmentation and Rhetorical Role Labeling with Data Augmentation for Legal Documents"" published in?",European Conference on Information Retrieval,Matthias Grabmair_2869551.json,
"How many citations does the paper ""Joint Span Segmentation and Rhetorical Role Labeling with Data Augmentation for Legal Documents"" have?",1,Matthias Grabmair_2869551.json,
"Who are the authors of the paper ""Joint Span Segmentation and Rhetorical Role Labeling with Data Augmentation for Legal Documents""?","Santosh T.Y.S.S, Philipp Bock, Matthias Grabmair",Matthias Grabmair_2869551.json,
"Who is the first author of the paper ""Joint Span Segmentation and Rhetorical Role Labeling with Data Augmentation for Legal Documents""?",Santosh T.Y.S.S,Matthias Grabmair_2869551.json,
"What is the paper ID of the paper ""Joint Span Segmentation and Rhetorical Role Labeling with Data Augmentation for Legal Documents""?",1109a51ff68d8c7a09d651d706028e9e380f2af8,Matthias Grabmair_2869551.json,
What paper has the paper ID 1109a51ff68d8c7a09d651d706028e9e380f2af8?,Joint Span Segmentation and Rhetorical Role Labeling with Data Augmentation for Legal Documents,Matthias Grabmair_2869551.json,
What is the TLDR of the paper 'Joint Span Segmentation and Rhetorical Role Labeling with Data Augmentation for Legal Documents'?,"This work reformulates the task at span level as identifying spans of multiple consecutive sentences that share the same rhetorical role label to be assigned via classification, and employs semi-Markov Conditional Random Fields (CRF) to jointly learn span segmentation and span label assignment.",Matthias Grabmair_2869551.json,
What is the abstract of the paper 'Joint Span Segmentation and Rhetorical Role Labeling with Data Augmentation for Legal Documents'?,"Segmentation and Rhetorical Role Labeling of legal judgements play a crucial role in retrieval and adjacent tasks, including case summarization, semantic search, argument mining etc. Previous approaches have formulated this task either as independent classification or sequence labeling of sentences. In this work, we reformulate the task at span level as identifying spans of multiple consecutive sentences that share the same rhetorical role label to be assigned via classification. We employ semi-Markov Conditional Random Fields (CRF) to jointly learn span segmentation and span label assignment. We further explore three data augmentation strategies to mitigate the data scarcity in the specialized domain of law where individual documents tend to be very long and annotation cost is high. Our experiments demonstrate improvement of span-level prediction metrics with a semi-Markov CRF model over a CRF baseline. This benefit is contingent on the presence of multi sentence spans in the document.",Matthias Grabmair_2869551.json,
"What journal was the paper ""Leveraging Task Dependency and Contrastive Learning for Case Outcome Classification on European Court of Human Rights Cases"" published in?",ArXiv,Matthias Grabmair_2869551.json,
"What venue was the paper ""Leveraging Task Dependency and Contrastive Learning for Case Outcome Classification on European Court of Human Rights Cases"" published in?",Conference of the European Chapter of the Association for Computational Linguistics,Matthias Grabmair_2869551.json,
"How many citations does the paper ""Leveraging Task Dependency and Contrastive Learning for Case Outcome Classification on European Court of Human Rights Cases"" have?",4,Matthias Grabmair_2869551.json,
"Who are the authors of the paper ""Leveraging Task Dependency and Contrastive Learning for Case Outcome Classification on European Court of Human Rights Cases""?","Santosh T.Y.S.S, Santosh T.Y.S.S, Phillip Kemper, Matthias Grabmair",Matthias Grabmair_2869551.json,
"Who is the first author of the paper ""Leveraging Task Dependency and Contrastive Learning for Case Outcome Classification on European Court of Human Rights Cases""?",Santosh T.Y.S.S,Matthias Grabmair_2869551.json,
"What is the paper ID of the paper ""Leveraging Task Dependency and Contrastive Learning for Case Outcome Classification on European Court of Human Rights Cases""?",ff28f812113a7082f7d285ed3bf6dcbed49d0320,Matthias Grabmair_2869551.json,
What paper has the paper ID ff28f812113a7082f7d285ed3bf6dcbed49d0320?,Leveraging Task Dependency and Contrastive Learning for Case Outcome Classification on European Court of Human Rights Cases,Matthias Grabmair_2869551.json,
What is the TLDR of the paper 'Leveraging Task Dependency and Contrastive Learning for Case Outcome Classification on European Court of Human Rights Cases'?,,Matthias Grabmair_2869551.json,
What is the abstract of the paper 'Leveraging Task Dependency and Contrastive Learning for Case Outcome Classification on European Court of Human Rights Cases'?,"We report on an experiment in case outcome classification on European Court of Human Rights cases where our model first learns to identify the convention articles allegedly violated by the state from case facts descriptions, and subsequently uses that information to classify whether the court finds a violation of those articles. We assess the dependency between these two tasks at the feature and outcome level. Furthermore, we leverage a hierarchical contrastive loss to pull together article-specific representations of cases at the higher level, leading to distinctive article clusters. The cases in each article cluster are further pulled closer based on their outcome, leading to sub-clusters of cases with similar outcomes. Our experiment results demonstrate that, given a static pre-trained encoder, our models produce a small but consistent improvement in classification performance over single-task and joint models without contrastive loss.",Matthias Grabmair_2869551.json,
What is the author ID of Mona Diab?,1700007,data/paper_jsons/Mona T. Diab_1700007.json,
What are the papers of Mona Diab?,"Author Correction: Arabic natural language processing for Qur’anic research: a systematic review, Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology",data/paper_jsons/Mona T. Diab_1700007.json,
What is the H-index of Mona Diab?,50,data/paper_jsons/Mona T. Diab_1700007.json,
What is the author citation count of Mona Diab?,12703,data/paper_jsons/Mona T. Diab_1700007.json,
What journals has Mona Diab published in?,Artificial Intelligence Review,data/paper_jsons/Mona T. Diab_1700007.json,
What are the journals and how many papers has Mona Diab published in each?,{'Artificial Intelligence Review': 1},data/paper_jsons/Mona T. Diab_1700007.json,
What are the fields of study of Mona Diab?,Computer Science,data/paper_jsons/Mona T. Diab_1700007.json,
How many papers has Mona Diab published in open access journals?,2,data/paper_jsons/Mona T. Diab_1700007.json,
What venues has Mona Diab published in?,"Artificial Intelligence Review, International Workshop on Spoken Language Translation",data/paper_jsons/Mona T. Diab_1700007.json,
What is the most cited paper from Mona Diab?,Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology,data/paper_jsons/Mona T. Diab_1700007.json,
What is the url of the most cited paper from Mona Diab?,https://aclanthology.org/2023.iwslt-1.2.pdf,data/paper_jsons/Mona T. Diab_1700007.json,
Who are the authors of the most cited paper from Mona Diab?,"Elizabeth Salesky, Kareem Darwish, Mohamed Al-Badrashiny, Mona T. Diab, J. Niehues",data/paper_jsons/Mona T. Diab_1700007.json,
TLDR of the most cited paper from Mona Diab?,"This dataset enables further research into multilingual speech translation under realistic recording conditions with unsegmented audio and domain-specific terminology, applying NLP tools to text and speech in the technical domain, and evaluating and improving model robustness to diverse speaker demographics.",data/paper_jsons/Mona T. Diab_1700007.json,
Abstract of the most cited paper from Mona Diab?,"We present the ACL 60/60 evaluation sets for multilingual translation of ACL 2022 technical presentations into 10 target languages. This dataset enables further research into multilingual speech translation under realistic recording conditions with unsegmented audio and domain-specific terminology, applying NLP tools to text and speech in the technical domain, and evaluating and improving model robustness to diverse speaker demographics.",data/paper_jsons/Mona T. Diab_1700007.json,
"What journal was the paper ""Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"" published in?",,Mona T. Diab_1700007.json,
"What venue was the paper ""Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"" published in?",International Workshop on Spoken Language Translation,Mona T. Diab_1700007.json,
"How many citations does the paper ""Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology"" have?",7,Mona T. Diab_1700007.json,
"Who are the authors of the paper ""Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology""?","Elizabeth Salesky, Kareem Darwish, Mohamed Al-Badrashiny, Mona T. Diab, J. Niehues",Mona T. Diab_1700007.json,
"Who is the first author of the paper ""Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology""?",Elizabeth Salesky,Mona T. Diab_1700007.json,
"What is the paper ID of the paper ""Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology""?",c5849f406e8263806a84e1a407ec0e0fe131bd5c,Mona T. Diab_1700007.json,
What paper has the paper ID c5849f406e8263806a84e1a407ec0e0fe131bd5c?,Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology,Mona T. Diab_1700007.json,
What is the TLDR of the paper 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology'?,"This dataset enables further research into multilingual speech translation under realistic recording conditions with unsegmented audio and domain-specific terminology, applying NLP tools to text and speech in the technical domain, and evaluating and improving model robustness to diverse speaker demographics.",Mona T. Diab_1700007.json,
What is the abstract of the paper 'Evaluating Multilingual Speech Translation under Realistic Conditions with Resegmentation and Terminology'?,"We present the ACL 60/60 evaluation sets for multilingual translation of ACL 2022 technical presentations into 10 target languages. This dataset enables further research into multilingual speech translation under realistic recording conditions with unsegmented audio and domain-specific terminology, applying NLP tools to text and speech in the technical domain, and evaluating and improving model robustness to diverse speaker demographics.",Mona T. Diab_1700007.json,
"What journal was the paper ""Author Correction: Arabic natural language processing for Qur’anic research: a systematic review"" published in?",Artificial Intelligence Review,Mona T. Diab_1700007.json,
"What venue was the paper ""Author Correction: Arabic natural language processing for Qur’anic research: a systematic review"" published in?",Artificial Intelligence Review,Mona T. Diab_1700007.json,
"How many citations does the paper ""Author Correction: Arabic natural language processing for Qur’anic research: a systematic review"" have?",0,Mona T. Diab_1700007.json,
"Who are the authors of the paper ""Author Correction: Arabic natural language processing for Qur’anic research: a systematic review""?","M. Bashir, Aqil M. Azmi, H. Nawaz, W. Zaghouani, Mona T. Diab, Ala I. Al-Fuqaha, Junaid Qadir",Mona T. Diab_1700007.json,
"Who is the first author of the paper ""Author Correction: Arabic natural language processing for Qur’anic research: a systematic review""?",M. Bashir,Mona T. Diab_1700007.json,
"What is the paper ID of the paper ""Author Correction: Arabic natural language processing for Qur’anic research: a systematic review""?",45f7ab2dd1bd86703f3fc0f713d35851ae15b038,Mona T. Diab_1700007.json,
What paper has the paper ID 45f7ab2dd1bd86703f3fc0f713d35851ae15b038?,Author Correction: Arabic natural language processing for Qur’anic research: a systematic review,Mona T. Diab_1700007.json,
What is the TLDR of the paper 'Author Correction: Arabic natural language processing for Qur’anic research: a systematic review'?,TLDR not found,Mona T. Diab_1700007.json,
What is the abstract of the paper 'Author Correction: Arabic natural language processing for Qur’anic research: a systematic review'?,,Mona T. Diab_1700007.json,
What is the author ID of Mona Diab?,2138579860,data/paper_jsons/Mona T. Diab_2138579860.json,
What are the papers of Mona Diab?,"Can Large Language Models Infer Causation from Correlation?, ALERT: Adapt Language Models to Reasoning Tasks, Care4Lang at MEDIQA-Chat 2023: Fine-tuning Language Models for Classifying and Summarizing Clinical Dialogues, The Troubling Emergence of Hallucination in Large Language Models - An Extensive Definition, Quantification, and Prescriptive Remediations, OPT-R: Exploring the Role of Explanations in Finetuning and Prompting for Reasoning Skills of Large Language Models, Methods for Measuring, Updating, and Visualizing Factual Beliefs in Language Models",data/paper_jsons/Mona T. Diab_2138579860.json,
What is the H-index of Mona Diab?,10,data/paper_jsons/Mona T. Diab_2138579860.json,
What is the author citation count of Mona Diab?,2128,data/paper_jsons/Mona T. Diab_2138579860.json,
What journals has Mona Diab published in?,ArXiv,data/paper_jsons/Mona T. Diab_2138579860.json,
What are the journals and how many papers has Mona Diab published in each?,{'ArXiv': 2},data/paper_jsons/Mona T. Diab_2138579860.json,
What are the fields of study of Mona Diab?,Computer Science,data/paper_jsons/Mona T. Diab_2138579860.json,
How many papers has Mona Diab published in open access journals?,6,data/paper_jsons/Mona T. Diab_2138579860.json,
What venues has Mona Diab published in?,"arXiv.org, Annual Meeting of the Association for Computational Linguistics, Clinical Natural Language Processing Workshop, Conference on Empirical Methods in Natural Language Processing, NLRSE, Conference of the European Chapter of the Association for Computational Linguistics",data/paper_jsons/Mona T. Diab_2138579860.json,
What is the most cited paper from Mona Diab?,Can Large Language Models Infer Causation from Correlation?,data/paper_jsons/Mona T. Diab_2138579860.json,
What is the url of the most cited paper from Mona Diab?,http://arxiv.org/pdf/2306.05836,data/paper_jsons/Mona T. Diab_2138579860.json,
Who are the authors of the most cited paper from Mona Diab?,"Zhijing Jin, Jiarui Liu, Zhiheng Lyu, Spencer Poff, Mrinmaya Sachan, Rada Mihalcea, Mona T. Diab, B. Scholkopf",data/paper_jsons/Mona T. Diab_2138579860.json,
TLDR of the most cited paper from Mona Diab?,"This work proposes the first benchmark dataset to test the pure causal inference skills of large language models (LLMs), and formulates a novel task Corr2Cause, which takes a set of correlational statements and determines the causal relationship between the variables.",data/paper_jsons/Mona T. Diab_2138579860.json,
Abstract of the most cited paper from Mona Diab?,"Causal inference is one of the hallmarks of human intelligence. While the field of CausalNLP has attracted much interest in the recent years, existing causal inference datasets in NLP primarily rely on discovering causality from empirical knowledge (e.g., commonsense knowledge). In this work, we propose the first benchmark dataset to test the pure causal inference skills of large language models (LLMs). Specifically, we formulate a novel task Corr2Cause, which takes a set of correlational statements and determines the causal relationship between the variables. We curate a large-scale dataset of more than 200K samples, on which we evaluate seventeen existing LLMs. Through our experiments, we identify a key shortcoming of LLMs in terms of their causal inference skills, and show that these models achieve almost close to random performance on the task. This shortcoming is somewhat mitigated when we try to re-purpose LLMs for this skill via finetuning, but we find that these models still fail to generalize -- they can only perform causal inference in in-distribution settings when variable names and textual expressions used in the queries are similar to those in the training set, but fail in out-of-distribution settings generated by perturbing these queries. Corr2Cause is a challenging task for LLMs, and would be helpful in guiding future research on improving LLMs' pure reasoning skills and generalizability. Our data is at https://huggingface.co/datasets/causalnlp/corr2cause. Our code is at https://github.com/causalNLP/corr2cause.",data/paper_jsons/Mona T. Diab_2138579860.json,
"What journal was the paper ""Methods for Measuring, Updating, and Visualizing Factual Beliefs in Language Models"" published in?",,Mona T. Diab_2138579860.json,
"What venue was the paper ""Methods for Measuring, Updating, and Visualizing Factual Beliefs in Language Models"" published in?",Conference of the European Chapter of the Association for Computational Linguistics,Mona T. Diab_2138579860.json,
"How many citations does the paper ""Methods for Measuring, Updating, and Visualizing Factual Beliefs in Language Models"" have?",26,Mona T. Diab_2138579860.json,
