Question,Answer
What days does the course 76278 Japanese Film and Literature: The Art of Storytelling meet?,"Tuesday, Thursday"
What is the location of the course 76278 Japanese Film and Literature: The Art of Storytelling?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76278 Japanese Film and Literature: The Art of Storytelling?,WEH 5312
How many units is the course 76278 Japanese Film and Literature: The Art of Storytelling?,9.0
Who are the instructors of the course 76278 Japanese Film and Literature: The Art of Storytelling?,Iwasaki
What is the course number of Sex & Texts?,76287
What is the name of course number 76287?,Sex & Texts
What time does the course 76287 Sex & Texts begin?,12:30PM
What time does the course 76287 Sex & Texts end?,01:50PM
What days does the course 76287 Sex & Texts meet?,"Tuesday, Thursday"
What is the location of the course 76287 Sex & Texts?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76287 Sex & Texts?,PH A19
How many units is the course 76287 Sex & Texts?,9.0
Who are the instructors of the course 76287 Sex & Texts?,Larson
What is the course number of 20th Century Russian Masterpieces?,76296
What is the name of course number 76296?,20th Century Russian Masterpieces
What time does the course 76296 20th Century Russian Masterpieces begin?,02:00PM
What time does the course 76296 20th Century Russian Masterpieces end?,03:20PM
What days does the course 76296 20th Century Russian Masterpieces meet?,"Tuesday, Thursday"
What is the location of the course 76296 20th Century Russian Masterpieces?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76296 20th Century Russian Masterpieces?,PH 125C
How many units is the course 76296 20th Century Russian Masterpieces?,9.0
Who are the instructors of the course 76296 20th Century Russian Masterpieces?,Gershkovich
What is the course number of Advanced Studies in Film and Media?,76310
What is the name of course number 76310?,Advanced Studies in Film and Media
What time does the course 76310 Advanced Studies in Film and Media begin?,11:00AM
What time does the course 76310 Advanced Studies in Film and Media end?,12:20PM
What days does the course 76310 Advanced Studies in Film and Media meet?,"Monday, Wednesday, "
What is the location of the course 76310 Advanced Studies in Film and Media?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76310 Advanced Studies in Film and Media?,BH 235B
How many units is the course 76310 Advanced Studies in Film and Media?,9.0
Who are the instructors of the course 76310 Advanced Studies in Film and Media?,Hinkelman
What is the course number of Contemporary American Fiction?,76317
What is the name of course number 76317?,Contemporary American Fiction
What time does the course 76317 Contemporary American Fiction begin?,07:00PM
What time does the course 76317 Contemporary American Fiction end?,09:50PM
What days does the course 76317 Contemporary American Fiction meet?,Thursday
What is the location of the course 76317 Contemporary American Fiction?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76317 Contemporary American Fiction?,BH 255B
How many units is the course 76317 Contemporary American Fiction?,9.0
Who are the instructors of the course 76317 Contemporary American Fiction?,Williams
What is the course number of Equity & Communication: Strategies for Institutional Change?,76327
What is the name of course number 76327?,Equity & Communication: Strategies for Institutional Change
What time does the course 76327 Equity & Communication: Strategies for Institutional Change begin?,09:30AM
What time does the course 76327 Equity & Communication: Strategies for Institutional Change end?,10:50AM
What days does the course 76327 Equity & Communication: Strategies for Institutional Change meet?,"Monday, Wednesday, "
What is the location of the course 76327 Equity & Communication: Strategies for Institutional Change?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76327 Equity & Communication: Strategies for Institutional Change?,DH 1117
How many units is the course 76327 Equity & Communication: Strategies for Institutional Change?,9.0
Who are the instructors of the course 76327 Equity & Communication: Strategies for Institutional Change?,Wolfe
What is the course number of Reading in Forms: Poetry?,76363
What is the name of course number 76363?,Reading in Forms: Poetry
What time does the course 76363 Reading in Forms: Poetry begin?,03:30PM
What time does the course 76363 Reading in Forms: Poetry end?,04:50PM
What days does the course 76363 Reading in Forms: Poetry meet?,"Tuesday, Thursday"
What is the location of the course 76363 Reading in Forms: Poetry?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76363 Reading in Forms: Poetry?,PH 125D
How many units is the course 76363 Reading in Forms: Poetry?,9.0
Who are the instructors of the course 76363 Reading in Forms: Poetry?,Rankine
What is the course number of Advanced Film Production?,76369
What is the name of course number 76369?,Advanced Film Production
What time does the course 76369 Advanced Film Production begin?,11:00AM
What time does the course 76369 Advanced Film Production end?,12:20PM
What days does the course 76369 Advanced Film Production meet?,"Tuesday, Thursday"
What is the location of the course 76369 Advanced Film Production?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76369 Advanced Film Production?,WEH 4707
How many units is the course 76369 Advanced Film Production?,9.0
Who are the instructors of the course 76369 Advanced Film Production?,Martin
What is the course number of Argument?,76373
What is the name of course number 76373?,Argument
What time does the course 76373 Argument begin?,12:30PM
What time does the course 76373 Argument end?,01:50PM
What days does the course 76373 Argument meet?,"Monday, Wednesday, "
What is the location of the course 76373 Argument?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76373 Argument?,WEH 4708
How many units is the course 76373 Argument?,9.0
Who are the instructors of the course 76373 Argument?,Coulson
What is the course number of Style?,76390
What is the name of course number 76390?,Style
What time does the course 76390 Style begin?,09:30AM
What time does the course 76390 Style end?,10:50AM
What days does the course 76390 Style meet?,"Tuesday, Thursday"
What is the location of the course 76390 Style?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76390 Style?,WEH 5328
How many units is the course 76390 Style?,9.0
Who are the instructors of the course 76390 Style?,Idzik
What is the course number of Science Writing?,76395
What is the name of course number 76395?,Science Writing
What time does the course 76395 Science Writing begin?,07:00PM
What time does the course 76395 Science Writing end?,09:50PM
What days does the course 76395 Science Writing meet?,Thursday
What is the location of the course 76395 Science Writing?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76395 Science Writing?,PH 125D
How many units is the course 76395 Science Writing?,9.0
Who are the instructors of the course 76395 Science Writing?,Linn
What is the course number of Rhetoric and the Body?,76418
What is the name of course number 76418?,Rhetoric and the Body
What time does the course 76418 Rhetoric and the Body begin?,09:30AM
What time does the course 76418 Rhetoric and the Body end?,10:50AM
What days does the course 76418 Rhetoric and the Body meet?,"Tuesday, Thursday"
What is the location of the course 76418 Rhetoric and the Body?,"A19C Pittsburgh, Pennsylvania"
What is the building and room number of the course 76418 Rhetoric and the Body?,PH
How many units is the course 76418 Rhetoric and the Body?,9.0
Who are the instructors of the course 76418 Rhetoric and the Body?,Larson
What is the course number of Black Lives in Pre-1900 Britain?,76442
What is the name of course number 76442?,Black Lives in Pre-1900 Britain
What time does the course 76442 Black Lives in Pre-1900 Britain begin?,12:30PM
What time does the course 76442 Black Lives in Pre-1900 Britain end?,01:50PM
What days does the course 76442 Black Lives in Pre-1900 Britain meet?,"Monday, Wednesday, "
What is the location of the course 76442 Black Lives in Pre-1900 Britain?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76442 Black Lives in Pre-1900 Britain?,WEH 4707
How many units is the course 76442 Black Lives in Pre-1900 Britain?,9.0
Who are the instructors of the course 76442 Black Lives in Pre-1900 Britain?,Makonnen
What is the course number of Sociology of Literature & Culture?,76458
What is the name of course number 76458?,Sociology of Literature & Culture
What time does the course 76458 Sociology of Literature & Culture begin?,03:30PM
What time does the course 76458 Sociology of Literature & Culture end?,04:50PM
What days does the course 76458 Sociology of Literature & Culture meet?,"Tuesday, Thursday"
What is the location of the course 76458 Sociology of Literature & Culture?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76458 Sociology of Literature & Culture?,BH 255B
How many units is the course 76458 Sociology of Literature & Culture?,9.0
Who are the instructors of the course 76458 Sociology of Literature & Culture?,Klancher        76459   Transnational Feminisms
"What is the course number of Refugee Stories: Literature, Art and Film?",76461
What is the name of course number 76461?,"Refugee Stories: Literature, Art and Film"
"What time does the course 76461 Refugee Stories: Literature, Art and Film begin?",02:00PM
"What time does the course 76461 Refugee Stories: Literature, Art and Film end?",03:20PM
"What days does the course 76461 Refugee Stories: Literature, Art and Film meet?","Tuesday, Thursday"
"What is the location of the course 76461 Refugee Stories: Literature, Art and Film?","Pittsburgh, Pennsylvania"
"What is the building and room number of the course 76461 Refugee Stories: Literature, Art and Film?",PH 125D
"How many units is the course 76461 Refugee Stories: Literature, Art and Film?",9.0
"Who are the instructors of the course 76461 Refugee Stories: Literature, Art and Film?",Aguiar
What is the course number of Creative Nonfiction Workshop?,76464
What is the name of course number 76464?,Creative Nonfiction Workshop
What time does the course 76464 Creative Nonfiction Workshop begin?,03:30PM
What time does the course 76464 Creative Nonfiction Workshop end?,04:50PM
What days does the course 76464 Creative Nonfiction Workshop meet?,"Tuesday, Thursday"
What is the location of the course 76464 Creative Nonfiction Workshop?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76464 Creative Nonfiction Workshop?,PH 125C
How many units is the course 76464 Creative Nonfiction Workshop?,9.0
Who are the instructors of the course 76464 Creative Nonfiction Workshop?,Bernstein
"What is the course number of Model Minorities? Race, Rhetoric, & Identity in Asian America?",76479
What is the name of course number 76479?,"Model Minorities? Race, Rhetoric, & Identity in Asian America"
"What time does the course 76479 Model Minorities? Race, Rhetoric, & Identity in Asian America begin?",02:00PM
"What time does the course 76479 Model Minorities? Race, Rhetoric, & Identity in Asian America end?",03:20PM
"What days does the course 76479 Model Minorities? Race, Rhetoric, & Identity in Asian America meet?","Tuesday, Thursday"
"What is the location of the course 76479 Model Minorities? Race, Rhetoric, & Identity in Asian America?","A20A Pittsburgh, Pennsylvania"
"What is the building and room number of the course 76479 Model Minorities? Race, Rhetoric, & Identity in Asian America?",PH
"How many units is the course 76479 Model Minorities? Race, Rhetoric, & Identity in Asian America?",9.0
"Who are the instructors of the course 76479 Model Minorities? Race, Rhetoric, & Identity in Asian America?",Idzik
What is the course number of Information Architecture & Content Strategy?,76487
What is the name of course number 76487?,Information Architecture & Content Strategy
What time does the course 76487 Information Architecture & Content Strategy begin?,03:30PM
What time does the course 76487 Information Architecture & Content Strategy end?,04:50PM
What days does the course 76487 Information Architecture & Content Strategy meet?,"Monday, Wednesday, "
What is the location of the course 76487 Information Architecture & Content Strategy?,"A19C Pittsburgh, Pennsylvania"
What is the building and room number of the course 76487 Information Architecture & Content Strategy?,PH
How many units is the course 76487 Information Architecture & Content Strategy?,9.0
Who are the instructors of the course 76487 Information Architecture & Content Strategy?,Ishizaki
What is the course number of M.A. Professionalization Seminar?,76716
What is the name of course number 76716?,M.A. Professionalization Seminar
What time does the course 76716 M.A. Professionalization Seminar begin?,03:30PM
What time does the course 76716 M.A. Professionalization Seminar end?,04:50PM
What days does the course 76716 M.A. Professionalization Seminar meet?,"Tuesday, Thursday"
What is the location of the course 76716 M.A. Professionalization Seminar?,"A20A Pittsburgh, Pennsylvania"
What is the building and room number of the course 76716 M.A. Professionalization Seminar?,PH
How many units is the course 76716 M.A. Professionalization Seminar?,6.0
Who are the instructors of the course 76716 M.A. Professionalization Seminar?,Oddo
What is the course number of Communicating in the Global Marketplace?,76718
What is the name of course number 76718?,Communicating in the Global Marketplace
What time does the course 76718 Communicating in the Global Marketplace begin?,12:30PM
What time does the course 76718 Communicating in the Global Marketplace end?,01:50PM
What days does the course 76718 Communicating in the Global Marketplace meet?,"Tuesday, Thursday"
What is the location of the course 76718 Communicating in the Global Marketplace?,"A19C Pittsburgh, Pennsylvania"
What is the building and room number of the course 76718 Communicating in the Global Marketplace?,PH
How many units is the course 76718 Communicating in the Global Marketplace?,"9,12"
Who are the instructors of the course 76718 Communicating in the Global Marketplace?,Hammond
What is the course number of Academic Writing and Communication for International Graduate Students?,76745
What is the name of course number 76745?,Academic Writing and Communication for International Graduate Students
What time does the course 76745 Academic Writing and Communication for International Graduate Students begin?,02:00PM
What time does the course 76745 Academic Writing and Communication for International Graduate Students end?,03:20PM
What days does the course 76745 Academic Writing and Communication for International Graduate Students meet?,"Monday, Wednesday, "
What is the location of the course 76745 Academic Writing and Communication for International Graduate Students?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76745 Academic Writing and Communication for International Graduate Students?,PH A19
How many units is the course 76745 Academic Writing and Communication for International Graduate Students?,4.5
Who are the instructors of the course 76745 Academic Writing and Communication for International Graduate Students?,Austin
What is the course number of Argument?,76773
What is the name of course number 76773?,Argument
What time does the course 76773 Argument begin?,12:30PM
What time does the course 76773 Argument end?,01:50PM
What days does the course 76773 Argument meet?,"Monday, Wednesday, "
What is the location of the course 76773 Argument?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76773 Argument?,WEH 4708
How many units is the course 76773 Argument?,"9,12"
Who are the instructors of the course 76773 Argument?,Coulson
What is the course number of Style?,76790
What is the name of course number 76790?,Style
What time does the course 76790 Style begin?,09:30AM
What time does the course 76790 Style end?,10:50AM
What days does the course 76790 Style meet?,"Tuesday, Thursday"
What is the location of the course 76790 Style?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76790 Style?,WEH 5328
How many units is the course 76790 Style?,"9,12"
Who are the instructors of the course 76790 Style?,Idzik
What is the course number of Rhetoric and the Body?,76818
What is the name of course number 76818?,Rhetoric and the Body
What time does the course 76818 Rhetoric and the Body begin?,09:30AM
What time does the course 76818 Rhetoric and the Body end?,10:50AM
What days does the course 76818 Rhetoric and the Body meet?,"Tuesday, Thursday"
What is the location of the course 76818 Rhetoric and the Body?,"A19C Pittsburgh, Pennsylvania"
What is the building and room number of the course 76818 Rhetoric and the Body?,PH
How many units is the course 76818 Rhetoric and the Body?,"9,12"
Who are the instructors of the course 76818 Rhetoric and the Body?,Larson
What is the course number of Introduction to Digital Humanities?,76829
What is the name of course number 76829?,Introduction to Digital Humanities
What time does the course 76829 Introduction to Digital Humanities begin?,09:30AM
What time does the course 76829 Introduction to Digital Humanities end?,10:50AM
What days does the course 76829 Introduction to Digital Humanities meet?,"Tuesday, Thursday"
What is the location of the course 76829 Introduction to Digital Humanities?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76829 Introduction to Digital Humanities?,PH 125C
How many units is the course 76829 Introduction to Digital Humanities?,6-12
Who are the instructors of the course 76829 Introduction to Digital Humanities?,Warren
What is the course number of Black Lives in Pre-1900 Britain?,76842
What is the name of course number 76842?,Black Lives in Pre-1900 Britain
What time does the course 76842 Black Lives in Pre-1900 Britain begin?,12:30PM
What time does the course 76842 Black Lives in Pre-1900 Britain end?,01:50PM
What days does the course 76842 Black Lives in Pre-1900 Britain meet?,"Monday, Wednesday, "
What is the location of the course 76842 Black Lives in Pre-1900 Britain?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76842 Black Lives in Pre-1900 Britain?,WEH 4707
How many units is the course 76842 Black Lives in Pre-1900 Britain?,"9,12"
Who are the instructors of the course 76842 Black Lives in Pre-1900 Britain?,Makonnen
"What is the course number of Refugee Stories: Literature, Art and Film?",76861
What is the name of course number 76861?,"Refugee Stories: Literature, Art and Film"
"What time does the course 76861 Refugee Stories: Literature, Art and Film begin?",02:00PM
"What time does the course 76861 Refugee Stories: Literature, Art and Film end?",03:20PM
"What days does the course 76861 Refugee Stories: Literature, Art and Film meet?","Tuesday, Thursday"
"What is the location of the course 76861 Refugee Stories: Literature, Art and Film?","Pittsburgh, Pennsylvania"
"What is the building and room number of the course 76861 Refugee Stories: Literature, Art and Film?",PH 125D
"How many units is the course 76861 Refugee Stories: Literature, Art and Film?",12.0
"Who are the instructors of the course 76861 Refugee Stories: Literature, Art and Film?",Aguiar
What is the course number of Professionalization for LCS?,76869
What is the name of course number 76869?,Professionalization for LCS
What time does the course 76869 Professionalization for LCS begin?,04:00PM
What time does the course 76869 Professionalization for LCS end?,06:50PM
What days does the course 76869 Professionalization for LCS meet?,"Monday, "
What is the location of the course 76869 Professionalization for LCS?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76869 Professionalization for LCS?,BH 136E
How many units is the course 76869 Professionalization for LCS?,6.0
Who are the instructors of the course 76869 Professionalization for LCS?,Newman
What is the course number of Information Architecture & Content Strategy Lab?,76888
What is the name of course number 76888?,Information Architecture & Content Strategy Lab
What time does the course 76888 Information Architecture & Content Strategy Lab begin?,07:00PM
What time does the course 76888 Information Architecture & Content Strategy Lab end?,08:50PM
What days does the course 76888 Information Architecture & Content Strategy Lab meet?,"Monday, "
What is the location of the course 76888 Information Architecture & Content Strategy Lab?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 76888 Information Architecture & Content Strategy Lab?,CYH 100A
How many units is the course 76888 Information Architecture & Content Strategy Lab?,3.0
Who are the instructors of the course 76888 Information Architecture & Content Strategy Lab?,Houser
What is the course number of Programming for Game Designers?,53230
What is the name of course number 53230?,Programming for Game Designers
What time does the course 53230 Programming for Game Designers begin?,02:00PM
What time does the course 53230 Programming for Game Designers end?,03:20PM
What days does the course 53230 Programming for Game Designers meet?,"Tuesday, Thursday"
What is the location of the course 53230 Programming for Game Designers?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 53230 Programming for Game Designers?,HL 106C
How many units is the course 53230 Programming for Game Designers?,9.0
Who are the instructors of the course 53230 Programming for Game Designers?,Saldamarco
What is the course number of IDeATe: Inflatables?,53330
What is the name of course number 53330?,IDeATe: Inflatables
What time does the course 53330 IDeATe: Inflatables begin?,12:00PM
What time does the course 53330 IDeATe: Inflatables end?,01:50PM
What days does the course 53330 IDeATe: Inflatables meet?,"Tuesday, Thursday"
What is the location of the course 53330 IDeATe: Inflatables?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 53330 IDeATe: Inflatables?,HL 106B
How many units is the course 53330 IDeATe: Inflatables?,12.0
Who are the instructors of the course 53330 IDeATe: Inflatables?,Robinson
What is the course number of Retro Game Lab?,53374
What is the name of course number 53374?,Retro Game Lab
What time does the course 53374 Retro Game Lab begin?,12:00PM
What time does the course 53374 Retro Game Lab end?,02:50PM
What days does the course 53374 Retro Game Lab meet?,Friday
What is the location of the course 53374 Retro Game Lab?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 53374 Retro Game Lab?,HL A10
How many units is the course 53374 Retro Game Lab?,6.0
Who are the instructors of the course 53374 Retro Game Lab?,"Walton, Zacharias"
"What is the course number of Game Design, Prototyping and Production?",53471
What is the name of course number 53471?,"Game Design, Prototyping and Production"
"What time does the course 53471 Game Design, Prototyping and Production begin?",10:00AM
"What time does the course 53471 Game Design, Prototyping and Production end?",11:50AM
"What days does the course 53471 Game Design, Prototyping and Production meet?","Monday, Wednesday, Friday"
"What is the location of the course 53471 Game Design, Prototyping and Production?","Pittsburgh, Pennsylvania"
"What is the building and room number of the course 53471 Game Design, Prototyping and Production?",HL 106B
"How many units is the course 53471 Game Design, Prototyping and Production?",15.0
"Who are the instructors of the course 53471 Game Design, Prototyping and Production?",Corbett
What is the course number of Game Design Fundamentals?,53603
What is the name of course number 53603?,Game Design Fundamentals
What time does the course 53603 Game Design Fundamentals begin?,11:15AM
What time does the course 53603 Game Design Fundamentals end?,05:05PM
What days does the course 53603 Game Design Fundamentals meet?,S
What is the location of the course 53603 Game Design Fundamentals?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 53603 Game Design Fundamentals?,CMU REMOTE
How many units is the course 53603 Game Design Fundamentals?,12.0
Who are the instructors of the course 53603 Game Design Fundamentals?,Librande
What is the course number of Guest Experience in Theme Park Design?,53612
What is the name of course number 53612?,Guest Experience in Theme Park Design
What time does the course 53612 Guest Experience in Theme Park Design begin?,02:00PM
What time does the course 53612 Guest Experience in Theme Park Design end?,03:20PM
What days does the course 53612 Guest Experience in Theme Park Design meet?,"Tuesday, Thursday"
What is the location of the course 53612 Guest Experience in Theme Park Design?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 53612 Guest Experience in Theme Park Design?,HL 106C
How many units is the course 53612 Guest Experience in Theme Park Design?,9.0
Who are the instructors of the course 53612 Guest Experience in Theme Park Design?,Saldamarco
What is the course number of Introduction to Game Design?,53614
What is the name of course number 53614?,Introduction to Game Design
What time does the course 53614 Introduction to Game Design begin?,02:00PM
What time does the course 53614 Introduction to Game Design end?,03:50PM
What days does the course 53614 Introduction to Game Design meet?,"Tuesday, Thursday"
What is the location of the course 53614 Introduction to Game Design?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 53614 Introduction to Game Design?,PTC MPR
How many units is the course 53614 Introduction to Game Design?,12.0
Who are the instructors of the course 53614 Introduction to Game Design?,Walton
"What is the course number of Game Design, Prototyping and Production?",53671
What is the name of course number 53671?,"Game Design, Prototyping and Production"
"What time does the course 53671 Game Design, Prototyping and Production begin?",10:00AM
"What time does the course 53671 Game Design, Prototyping and Production end?",11:50AM
"What days does the course 53671 Game Design, Prototyping and Production meet?","Monday, Wednesday, Friday"
"What is the location of the course 53671 Game Design, Prototyping and Production?","Pittsburgh, Pennsylvania"
"What is the building and room number of the course 53671 Game Design, Prototyping and Production?",HL 106B
"How many units is the course 53671 Game Design, Prototyping and Production?",15.0
"Who are the instructors of the course 53671 Game Design, Prototyping and Production?",Corbett
What is the course number of Programming for Game Designers?,53730
What is the name of course number 53730?,Programming for Game Designers
What time does the course 53730 Programming for Game Designers begin?,09:30AM
What time does the course 53730 Programming for Game Designers end?,10:50AM
What days does the course 53730 Programming for Game Designers meet?,"Tuesday, Thursday"
What is the location of the course 53730 Programming for Game Designers?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 53730 Programming for Game Designers?,HL 106B
How many units is the course 53730 Programming for Game Designers?,12.0
Who are the instructors of the course 53730 Programming for Game Designers?,Light
What is the course number of Introduction to Maya?,53788
What is the name of course number 53788?,Introduction to Maya
What time does the course 53788 Introduction to Maya begin?,12:00PM
What time does the course 53788 Introduction to Maya end?,01:50PM
What days does the course 53788 Introduction to Maya meet?,"Tuesday, Thursday"
What is the location of the course 53788 Introduction to Maya?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 53788 Introduction to Maya?,PTC 5208
How many units is the course 53788 Introduction to Maya?,12.0
Who are the instructors of the course 53788 Introduction to Maya?,Audia
What is the course number of Geographic Information Systems?,94402
What is the name of course number 94402?,Geographic Information Systems
What time does the course 94402 Geographic Information Systems begin?,09:30AM
What time does the course 94402 Geographic Information Systems end?,10:50AM
What days does the course 94402 Geographic Information Systems meet?,"Monday, Wednesday, "
What is the location of the course 94402 Geographic Information Systems?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94402 Geographic Information Systems?,HBH 2008
How many units is the course 94402 Geographic Information Systems?,12.0
Who are the instructors of the course 94402 Geographic Information Systems?,Goranson
What is the course number of Management Consulting?,94408
What is the name of course number 94408?,Management Consulting
What time does the course 94408 Management Consulting begin?,06:30PM
What time does the course 94408 Management Consulting end?,09:20PM
What days does the course 94408 Management Consulting meet?,"Wednesday, "
What is the location of the course 94408 Management Consulting?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94408 Management Consulting?,HBH 1005
How many units is the course 94408 Management Consulting?,12.0
Who are the instructors of the course 94408 Management Consulting?,Brussalis
What is the course number of Project Management?,94413
What is the name of course number 94413?,Project Management
What time does the course 94413 Project Management begin?,02:00PM
What time does the course 94413 Project Management end?,03:20PM
What days does the course 94413 Project Management meet?,"Monday, Wednesday, "
What is the location of the course 94413 Project Management?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94413 Project Management?,HBH 2009
How many units is the course 94413 Project Management?,6.0
Who are the instructors of the course 94413 Project Management?,Synnott
What is the course number of Applied Econometrics for DAS?,94431
What is the name of course number 94431?,Applied Econometrics for DAS
What time does the course 94431 Applied Econometrics for DAS begin?,03:30PM
What time does the course 94431 Applied Econometrics for DAS end?,04:50PM
What days does the course 94431 Applied Econometrics for DAS meet?,"Tuesday, Thursday"
What is the location of the course 94431 Applied Econometrics for DAS?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94431 Applied Econometrics for DAS?,HBH 1005
How many units is the course 94431 Applied Econometrics for DAS?,6.0
Who are the instructors of the course 94431 Applied Econometrics for DAS?,Zhang
What is the course number of Telling Stories with Data?,94470
What is the name of course number 94470?,Telling Stories with Data
What time does the course 94470 Telling Stories with Data begin?,11:00AM
What time does the course 94470 Telling Stories with Data end?,12:20PM
What days does the course 94470 Telling Stories with Data meet?,"Monday, Wednesday, "
What is the location of the course 94470 Telling Stories with Data?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94470 Telling Stories with Data?,HBH 2003
How many units is the course 94470 Telling Stories with Data?,6.0
Who are the instructors of the course 94470 Telling Stories with Data?,Goranson
What is the course number of Applied Ethical Analysis?,94483
What is the name of course number 94483?,Applied Ethical Analysis
What time does the course 94483 Applied Ethical Analysis begin?,06:30PM
What time does the course 94483 Applied Ethical Analysis end?,09:20PM
What days does the course 94483 Applied Ethical Analysis meet?,"Tuesday, "
What is the location of the course 94483 Applied Ethical Analysis?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94483 Applied Ethical Analysis?,HBH 1007
How many units is the course 94483 Applied Ethical Analysis?,6.0
Who are the instructors of the course 94483 Applied Ethical Analysis?,Apple
What is the course number of Organizational Design & Implementation?,94700
What is the name of course number 94700?,Organizational Design & Implementation
What time does the course 94700 Organizational Design & Implementation begin?,09:30AM
What time does the course 94700 Organizational Design & Implementation end?,10:50AM
What days does the course 94700 Organizational Design & Implementation meet?,"Monday, Wednesday, "
What is the location of the course 94700 Organizational Design & Implementation?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94700 Organizational Design & Implementation?,HBH 1206
How many units is the course 94700 Organizational Design & Implementation?,6.0
Who are the instructors of the course 94700 Organizational Design & Implementation?,Lassman
What is the course number of Managing Disruption in Media and Entertainment?,94732
What is the name of course number 94732?,Managing Disruption in Media and Entertainment
What time does the course 94732 Managing Disruption in Media and Entertainment begin?,09:30AM
What time does the course 94732 Managing Disruption in Media and Entertainment end?,10:50AM
What days does the course 94732 Managing Disruption in Media and Entertainment meet?,"Tuesday, Thursday"
What is the location of the course 94732 Managing Disruption in Media and Entertainment?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94732 Managing Disruption in Media and Entertainment?,HBH 2009
How many units is the course 94732 Managing Disruption in Media and Entertainment?,6.0
Who are the instructors of the course 94732 Managing Disruption in Media and Entertainment?,Smith
What is the course number of Practical Unstructured Data Analytics?,94775
What is the name of course number 94775?,Practical Unstructured Data Analytics
What time does the course 94775 Practical Unstructured Data Analytics begin?,03:30PM
What time does the course 94775 Practical Unstructured Data Analytics end?,04:50PM
What days does the course 94775 Practical Unstructured Data Analytics meet?,"Tuesday, Thursday"
What is the location of the course 94775 Practical Unstructured Data Analytics?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94775 Practical Unstructured Data Analytics?,HBH 1204
How many units is the course 94775 Practical Unstructured Data Analytics?,6.0
Who are the instructors of the course 94775 Practical Unstructured Data Analytics?,Zhu
What is the course number of Acting for Leadership and Communication?,94801
What is the name of course number 94801?,Acting for Leadership and Communication
What time does the course 94801 Acting for Leadership and Communication begin?,03:30PM
What time does the course 94801 Acting for Leadership and Communication end?,04:50PM
What days does the course 94801 Acting for Leadership and Communication meet?,"Monday, Wednesday, "
What is the location of the course 94801 Acting for Leadership and Communication?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94801 Acting for Leadership and Communication?,HBH 2008
How many units is the course 94801 Acting for Leadership and Communication?,6.0
Who are the instructors of the course 94801 Acting for Leadership and Communication?,Murphy
What is the course number of Consulting Lab?,94803
What is the name of course number 94803?,Consulting Lab
What time does the course 94803 Consulting Lab begin?,02:00PM
What time does the course 94803 Consulting Lab end?,03:20PM
What days does the course 94803 Consulting Lab meet?,"Tuesday, Thursday"
What is the location of the course 94803 Consulting Lab?,"Pittsburgh, Pennsylvania"
What is the building and room number of the course 94803 Consulting Lab?,HBH 2003
How many units is the course 94803 Consulting Lab?,6.0
Who are the instructors of the course 94803 Consulting Lab?,Labash
What is the course number of Management Consulting?,94808
What is the name of course number 94808?,Management Consulting
What time does the course 94808 Management Consulting begin?,06:30PM
What time does the course 94808 Management Consulting end?,09:20PM
What days does the course 94808 Management Consulting meet?,"Wednesday, "
What is the location of the course 94808 Management Consulting?,"Pittsburgh, Pennsylvania"
